"scenario_id","wetland_grassland","horticulture","cropland","mineral_bare_soil","dense_woodland","open_woodland","grassland","urban"
"reforestation_50_percent",0.1218,0.0406,0.2325,0.032,0.2582,0.2227,0.0731,0.0191
"reforestation_30_percent",0.1218,0.0406,0.2325,0.032,0.19408,0.2227,0.13722,0.0191
"reforestation_10_percent",0.1218,0.0406,0.2325,0.032,0.12996,0.2227,0.20134,0.0191
"deforestation_50_percent",0.1218,0.0406,0.3928,0.032,0.0979,0.0624,0.2334,0.0191
"deforestation_30_percent",0.1218,0.0406,0.32868,0.032,0.0979,0.12652,0.2334,0.0191
"deforestation_10_percent",0.1218,0.0406,0.26456,0.032,0.0979,0.19064,0.2334,0.0191
"forest_densification",0.1218,0.0406,0.2325,0.032,0.20925,0.11135,0.2334,0.0191
"forest_opening",0.1218,0.0406,0.2325,0.032,0.04895,0.27165,0.2334,0.0191
"horticulture_expansion",0.0124,0.15,0.2325,0.032,0.0979,0.2227,0.2334,0.0191
"grazing_expansion",0.15,0.0124,0.2325,0.032,0.0317579538365564,0.0722420461634435,0.45,0.0191
"cropland_expansion",0.1218,0.0406,0.465,0.032,0.0568138086642599,0.129238357400722,0.135447833935018,0.0191
"urbanization_20_percent",0.1218,0.0406,0.2325,0.032,0.0979,0.2227,0.0525,0.2
