wardpc;wardname;province;districtpc;provincepc;ID;area_sqkm;id_1;pop_2022;density_po;percentage_pop
130617;17;Mashonaland East;1306;13;265;104.8776835;264;4657;44.404;
130621;21;Mashonaland East;1306;13;279;88.80440903;278;5153;58.026;
130604;4;Mashonaland East;1306;13;280;75.05982203;279;4357;58.047;
130603;3;Mashonaland East;1306;13;281;125.1420256;280;4977;39.771;
130605;5;Mashonaland East;1306;13;284;87.27297716;283;4333;49.649;
130610;10;Mashonaland East;1306;13;288;78.88274319;287;5073;64.311;
130618;18;Mashonaland East;1306;13;333;67.8659486;332;3595;52.972;
130612;12;Mashonaland East;1306;13;335;86.21394451;334;10405;120.688;
130619;19;Mashonaland East;1306;13;349;53.72846014;348;2445;45.507;
130609;9;Mashonaland East;1306;13;1290;57.30702465;1289;6464;112.796;
130611;11;Mashonaland East;1306;13;1291;133.5522928;1290;10954;82.02;
130616;16;Mashonaland East;1306;13;1293;85.66242486;1292;7586;88.557;
130614;14;Mashonaland East;1306;13;1298;101.0562528;1297;6790;67.19;
130615;15;Mashonaland East;1306;13;1299;94.67609557;1298;6515;68.814;
130628;28;Mashonaland East;1306;13;1300;66.70984173;1299;5889;88.278;
130613;13;Mashonaland East;1306;13;1303;60.70127209;1302;6161;101.497;
130627;27;Mashonaland East;1306;13;1306;114.2819255;1305;9472;82.883;
130625;25;Mashonaland East;1306;13;1308;92.14501928;1307;6044;65.592;
130626;26;Mashonaland East;1306;13;1309;91.3818057;1308;7045;77.094;
130620;20;Mashonaland East;1306;13;1439;89.06952341;1438;5229;58.707;
130601;1;Mashonaland East;1306;13;1535;67.33318984;1534;3958;58.782;
130602;2;Mashonaland East;1306;13;1538;55.49669921;1537;4080;73.518;
130630;30;Mashonaland East;1306;13;1840;19.24747732;1839;13319;691.987;
130608;8;Mashonaland East;1306;13;1841;126.5267224;1840;8827;69.764;
;communal wards;;;;;;;153328;;74.63322982
;Murewha;;;;;;;205442;;
