"parameter";"value"
"TOTAL_AREA_HA";500
"R";832
"maize_share";0,67
"legume_share";0,31
"tobacco_share";0,02
"check_share";1
"tree_hedge_cropland";0,059
"tree_hedge_grassland";0,034
"collectable_litter_per_HH";1,25
"pop_density";71
"total_pop";355
"farming_pop";248,5
"HH_size";5
"HH_number";71
"HH_farming";50
"HH_wood_demand";1,7
"farming_pop_rate";0,7
"target_usd_per_capita_security";420
"target_usd_per_capita_dignity";250
"RUE";2,35
"HI_gdnuts";0,4
"NDFA_rate";0,62
"woody_coefficient";0,935
"regeneration_years";28,5
"wood_demand_per_ha_tobacco";18,5
"cattle_daily_intake";0,03
"cattle_weight";250
"winter_months";5
"wet_months";7
"cattle_security_threshold";4,5
"usd_per_cattle_sale";125
"tolerance";0,5
"max_iterations";30
"damage_level";0,7
"manure_ton_per_TLU_per_year";1,022
"collection_rate";0,5
"N_content_manure";0,014
"P_content_manure";0,002
"residue_to_grain_ratio";1,2
"residue_degradation";0,75
"residue_feed_share";1
"min_starch_need";160
"min_diversity_target";5
"threshold_woodland_ha_per_capita";0,2
"usd_per_ha_ntfp";40
